,Sentences
755,"104

We then assessed the capability of the RT-LAMP assay to amplify SARS-CoV-2 105 nucleic acid directly from raw sample matrix consisting of nasopharyngeal swabs from 106 asymptomatic donors placed in universal transport medium (UTM) or phosphate 107 buffered saline (PBS) and spiked with SARS-CoV-2 IVT target RNA"
756,"117

Relative to the CDC qRT-PCR, SARS-CoV-2 DETECTR was 90% sensitive and 100% 118 specific for detection of the coronavirus in respiratory swab samples, corresponding to 119 positive and negative predictive values of 100% and 91.7%, respectively (Fig"
757,"120

Here we combined isothermal amplification with CRISPR-Cas12 DETECTR 121 technology to develop a rapid (~30 min) and low-cost test for detection of SARS-CoV-2 122

in clinical samples"
758,"Key advantages of our approach over 127 existing methods such as qRT-PCR include (1) isothermal signal amplification for rapid 128 target detection obviating the need for thermocycling, (2) single nucleotide target 129 specificity (guide RNAs at the N2 site can distinguish SARS-CoV-2 from SARS-CoV 130 and MERS-CoV), (3) integration with portable, low-cost reporting formats such as lateral 131 flow strips, and (4) quick development cycle to address emerging threats from novel 132 zoonotic viruses (<2 weeks for SARS-CoV-2, Supplementary Fig"
759,"https://doi.org/10.1101/2020.03.06.20032334 doi: medRxiv preprint 

Nucleic acid preparation 218 SARS-CoV-2 target sequences were designed using all available genomes 219 available from GISAID 21 as of January 27, 2020"
760,"Next, LbCas12a target sites on the SARS-CoV-2 genome were 221 primer that contained a T7 promoter"
761,"The SARS-CoV-2 (coronavirus disease 2019; previously 2019-nCoV) has recently emerged as a human pathogen leading to 51,000 confirmed cases globally and at least 1,600 deaths [1] "
762,"SARS-CoV-2 virus is an enveloped, positive single-stranded RNA coronavirus with the genome size of approximately 29.9 kb.

SARS-CoV-2 is closely related to several bat coronaviruses and the SARS-CoV virus [2, 3] , and all belong to the B lineage of the beta-coronaviruses [4] "
763,"The transmission of SARS-CoV-2 appears to contain the way from human to human and from contact with infected surfaces and objects, causing WHO declare a Public Health Emergency of International Concern (PHEIC) on January 30 th , 2020 [5] [6] [7] .

Structural proteins are important targets for vaccine and anti-viral drug development due to their indispensable function to fuse and enter into the host cell [8] "
764,SARS-CoV-2 utilizes glycosylated spike (S) protein to gain entry into host cells
765,"The critical function of the S protein can be a breakthrough in vaccine design and development.

Great efforts are being made for the discovery of antiviral drugs, but there are no licensed therapeutic or vaccine for the treatment of SARS-CoV-2 infection available in the market"
766,Developing an effective treatment for SARS-CoV-2 is therefore a research priority
767,"Thus, we chose the method of immune-informatics, which is more efficient and more applicable for deep analysis of viral antigens, B-and T-cell linear epitope prediction, and evaluation of immunogenicity and virulence of pathogens.

Among those can be analyzed, B-cell can recognize and activate defense responses against viral infection, T-cell and antibody reactions may recover extreme respiratory infection.

In this manuscript, we applied immuno-informatics approach to identify potential B-and T-cell epitopes based on the S protein of SARS-CoV-2"
768,"Protein-peptide interactions were performed by PepSite [22] with the top prediction chosen from a total of 10 epitope-protein interaction reports.

The S protein sequences were taken from an open access database NGDC (https://bigd.big.ac.cn/ncov/), where 134 SARS-CoV-2 virus strain sequences are documented from 38 locations worldwide"
769,"By performing the multiple-sequence-alignment against the S protein sequences collected from different locations, all the selected epitopes were examined for their variability and conservation.

The physiochemical properties of SARS-CoV-2 S protein calculated by Protparam demonstrate that it Secondary structure of S protein were generated by PSIPRED [14] , showing that Beta strand (26"
770,"The four B-cell epitopes were mapped to the 3D structure of SARS-CoV-2 S protein (PDB ID: 6VSB), showing that 'VLGQSKRVDFCGKG' and 'GLTGTGVLTESNKK' are in less-exposed region (Figure 2 A, and B) , while 'VRQIAPGQTGKIAD' and 'KIADYNYKLPDDFT' locate in the spike head which is the most exposed region (Figure 2 C) "
771,"Phylogenetic tree illustrating evolutionary relationships among SARS-CoV-2 isolates from different locations worldwide.

The emergence of SARS-CoV-2 is a serious health threat for the whole society, thus there is an urgent need for drugs and preventative measures"
772,"The SARS-CoV-2 infection is characterized by lung infections with symptoms including fever, cough, and shortness of breath"
773,Medical biotechnology is important in developing vaccines against SARS-CoV-2
774,"However, computer-based immune-informatics can improve time and economic effectiveness, as a result, it is also an essential method in immunogenic analysis and vaccine development.

In this study, we characterized the physio-chemical characteristics of SARS-CoV-2 viral genome for epitope candidates and adopted an immune-informatics based pipeline with highly stringent criteria to identify S protein targeted B-and T-cell epitopes that may potentially promote an immune response in the host"
775,"All selected Band T-cell (MHC class-I and II) epitopes were conserved in all isolates of different locations globally without mutations observed yet.

We predict the B-and T-cell epitopes identified here may assist the development of potent peptide-based vaccines to address the SARS-CoV-2 challenge"
776,"But the replication of SARS-CoV-2 must be error-prone, which is similar to SARS-CoV with reported mutation rate of 4x10 -4 substitutions/site/year [29] "
777,"In addition, our immune-informatics based pipeline also provides a framework to identify B-and T-cell epitopes having therapeutic potential with excellent scope for SARS-CoV-2, but not limited to specific virus.

The authors declare no potential conflicts of interest"
778,"27.20027169 doi: medRxiv preprint Huanggang and Xiaogan(accounting for 27.0% together),and with 55% of the outflow outside of Hubei Province,including Henan, Guangdong,Zhejiang,Hunan,Jiangxi and Anhui together.The remainder population was 9 million in Wuhan,which was the most severe epidemic region.The strict blocked and isolated measures had been taken in other cities in Hubei before the local outbreak of SARS-CoV-2,which had not caused fulminating infection similar to Wuhan.In Hubei and other areas with serious epidemic situation,Chinese government had taken the strict blocked and isolated control,including the infected,the suspiciously infected individuals and the susceptible intimately contacted with the infected and the suspiciously infected individuals,involved the independent community buildings and villages,which were separated and quarantined in a unified way.On Jan.28,2020,JAMA magazine interviewed Professor NIH of the United States,and affirmed that the Chinese government adopted the strategy of closure and quarantine against the epidemic.

Many academics tried to estimate key epidemiological characteristics and possible outcomes of the epidemic by means of transmission model mathematically.On Jan.24,2020,Jonathan M"
779,"Read 3 estimated the basic reproduction index(R0) for SARS-CoV-2 to be between 3.6 and 4.0,then and COVID-19 would outbreak further both in other Chinese cities and in international travel destinations sucn as Thailand,Japan,Taiwan,Hong Kong and South Korea at an sharply increasing rate.According to his model,he predicted the number of infected individuals in Wuhan to be greater than 190 thousand by Feb"
